Comtrade_No,Comtrade_name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
512,Oman,1333000000,1217000000,1238000000,1370000000,1700000000,2100000000,2500000000,2621000000,3611000000,3880000000,3991000000,4000000000,4500000000,5000000000,5100000000,4472000000,5000000000
586,Pakistan,8901000000,9600000000,9900000000,9900000000,11000000000,13000000000,15000000000,17000000000,20652000000,25745000000,26000000000,28000000000,30000000000,29000000000,30000000000,31000000000,32000000000
591,Panama,750000000,760000000,760000000,760000000,748000000,889000000,1042000000,1050000000,1050000000,1050000000,1843000000,1679000000,1491000000,1766000000,2310000000,2366000000,2188000000
598,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,200000000,200000000,200000000,200000000,200000000
600,Paraguay,730000000,730000000,650000000,650000000,450000000,520000000,470000000,550000000,600000000,600000000,600000000,600000000,650000000,650000000,800000000,960000000,1000000000
604,Peru,4340000000,3799000000,3906000000,3950000000,3980000000,4000000000,4590000000,4600000000,5782419000,6231023000,6921735000,6862000000,8396000000,8500000000,10100000000,10527000000,10676000000
608,Philippines,12888000000,12556000000,11959000000,8653000000,13400000000,13060000000,13346000000,15494000000,12033000000,13048000000,13369000000,14865000000,15900000000,16063000000,18907000000,20150000000,22000000000
616,Poland,14970000000,15555000000,15046000000,11918000000,10948000000,11653000000,12566000000,12646000000,14688353000,17119936000,17206735000,15537000000,15521000000,18552000000,15919000000,14538000000,15358000000
620,Portugal,9500000000,10147000000,10343000000,10300000000,9759000000,8567000000,8843000000,8438000000,8340000000,12631000000,12650000000,12700000000,4587000000,5069000000,4090000000,5000000000,5500000000
634,Qatar,986000000,1025000000,1050000000,1050000000,1340000000,1400000000,1400000000,1500000000,1568000000,2400000000,3800000000,4094917000,3780000000,5000000000,5500000000,5335000000,6000000000
638,Réunion,380000000,380000000,400000000,400000000,380000000,380000000,380000000,380000000,400000000,400000000,400000000,375000000,300000000,250000000,350000000,400000000,400000000
642,Romania,7300000000,6252000000,6058000000,5668000000,5680000000,5992000000,6239000000,7032000000,8252768000,10059579000,10659630000,7902328000,6909000000,7307000000,8223000000,7451000000,7900000000
643,Russian Federation,26000000000,28400000000,32400000000,35300000000,37700000000,41000000000,45700000000,48500000000,54731000000,59939000000,53548000000,44266000000,50400000000,56200000000,61700000000,66503000000,68545000000
646,Rwanda,59000000,66000000,71000000,83000000,101000000,110000000,104000000,101000000,102589000,103034000,103244000,92000000,95000000,94000000,106000000,110000000,140000000
682,Saudi Arabia,15786000000,16313000000,18107000000,20608000000,23287000000,24147000000,25380000000,26064000000,27056000000,30368771000,31822848000,36500000000,42833000000,48450000000,53332000000,56238000000,57223000000
686,Senegal,1000000000,1000000000,1000000000,1000000000,1653000000,1694000000,2391000000,2623000000,2883800000,3152300000,3084000000,3327000000,4066000000,4677000000,4689000000,5191000000,4899000000
688,Serbia,0,0,0,0,0,0,0,0,2565000000,2677000000,2843000000,2232000000,2130000000,2095000000,1831000000,1592000000,1605000000
891,Serbia and Montenegro,2253000000,1575000000,2117000000,2418000000,2396000000,2075000000,2240000000,2276000000,0,0,0,0,0,0,0,0,0
694,Sierra Leone,100000000,100000000,100000000,100000000,144000000,169000000,180000000,172000000,234440000,235830000,254160000,236240000,301000000,311000000,335000000,313000000,336000000
702,Singapore,2340000000,1660000000,1150000000,600000000,200000000,150000000,0,0,0,0,0,0,0,0,0,0,0
703,Slovakia,4705000000,4718000000,3045000000,3123000000,3141000000,3147000000,3158000000,3499000000,3592509000,3718410000,4157356000,3011460000,2888000000,3219000000,2915000000,3121000000,3319000000
705,Slovenia,1149000000,1224000000,1300000000,1300000000,1178000000,1370000000,1186000000,1114000000,1269000000,1300000000,1300000000,1000000000,799000000,620000000,953000000,1139000000,1326000000
710,South Africa,8738000000,8068000000,7971000000,8036000000,8525000000,8883000000,12348000000,13000000000,12657529000,13651416000,13473000000,11784000000,10870000000,11234000000,11560000000,12170000000,12070000000
724,Spain,33080000000,35782000000,38115000000,40512000000,42417000000,44747000000,46593000000,50347000000,54032770000,54720445000,42088100000,29504574000,26217000000,22178000000,15939000000,13736000000,14587000000
144,Sri Lanka,874000000,976000000,1008000000,1108000000,1018000000,1164000000,1400000000,1500000000,1600000000,1700000000,1800000000,1900000000,1737000000,1984000000,2006000000,1929000000,1885000000
729,Sudan,198000000,231000000,146000000,190000000,205000000,272000000,307000000,331000000,202200000,326200000,246500000,621700000,1930000000,3002000000,3511000000,3538000000,3478000000
740,Suriname,60000000,60000000,60000000,65000000,65000000,65000000,65000000,65000000,65000000,65000000,65000000,65000000,45000000,74000000,114000000,131000000,130000000
752,Sweden,2252000000,2298000000,2651000000,2600000000,2642000000,2476000000,2588000000,2709000000,2952000000,2950000000,2900000000,2950000000,1796000000,2064000000,2141000000,2560000000,2500000000
757,Switzerland,3600000000,3548000000,3771000000,3950000000,3771000000,3613000000,3851000000,4022000000,4040000000,4000000000,4000000000,4000000000,4527000000,4577000000,4539000000,4540000000,4290000000
760,Syria,4607000000,4781000000,4830000000,4840000000,4679000000,4824000000,4757000000,4700000000,4804000000,5104000000,5336000000,5605000000,6000000000,5000000000,6000000000,4000000000,3800000000
762,Tajikistan,18000000,30000000,50000000,70000000,100000000,166000000,194000000,253000000,281500000,313100000,190400000,195000000,288000000,299000000,251000000,384000000,1150000000
